,Amount,Unit,Ingredient,New Unit,New Amount
0,1,TABLESPOON,ALMONDS,TABLESPOON,1
1,1,TABLESPOON,WALNUTS,TABLESPOON,1
2,1,TABLESPOON,CASHEWS,TABLESPOON,1
3,1,TABLESPOON,PISTACHIOS,TABLESPOON,1
4,1,TABLESPOON,MACADEMIA NUTS,TABLESPOON,1
5,4,TABLESPOONS,ABOVE ROASTED NUTS MIXTURE,TABLESPOONS,4
6,4,TABLESPOONS,GOLDEN FLAXSEED POWDER,TABLESPOONS,4
7,2,TABLESPOONS,FULL FAT GREEK YOGURT,TABLESPOONS,2
8,1,TABLESPOON,FULL FAT GREEK YOGURT,TABLESPOON,1
9,1,TABLESPOON,FULL FAT GREEK YOGURT,TABLESPOON,1
10,4,TABLESPOONS,WATER,TABLESPOONS,4
11,300,ML,WATER,ML,300
12,0.5,L,WATER,L,0.5
13,300,ML,WATER,ML,300
14,50,ML,WATER,ML,50
15,1.5-2,TSP,WATER,TSP,2
16,1/2,CUP,WATER,CUP,0.5
17,1.5,CUP,WATER,CUP,1.5
18,2,TABLESPOONS,WATER,TABLESPOONS,2
19,300,ML,WATER,ML,300
20,1,TEASPOON,ERYTHRITOL,TEASPOON,1
21,2,TEASPOONS,ERYTHRITOL,TEASPOONS,2
22,1,TABLESPOON,ERYTHRITOL,TABLESPOON,1
23,2,TABLESPOONS,ERYTHRITOL,TABLESPOONS,2
24,80,GMS,ERYTHRITOL,GMS,80
25,as needed,,ERYTHRITOL,,0
26,1,HANDFUL,BLUEBERRIES,HANDFUL,1
27,1,HANDFUL,RASPBERIIES,HANDFUL,1
28,1,TBSP,OLIVE OIL,TBSP,1
29,1,TABLESPOON,OLIVE OIL,TABLESPOON,1
30,1,TABLESPOON,OLIVE OIL,TABLESPOON,1
31,2,TABLESPOONS,OLIVE OIL,TABLESPOONS,2
32,1,TBSP,OLIVE OIL,TBSP,1
33,1,TBSP,OLIVE OIL,TBSP,1
34,1,TSP,OLIVE OIL,TSP,1
35,1/2,TSP,OLIVE OIL,TSP,0.5
36,1,TBSP,OLIVE OIL,TBSP,1
37,1,TABLESPOON,OLIVE OIL,TABLESPOON,1
38,2,TABLESPOONS,OLIVE OIL,TABLESPOONS,2
39,1,TSP,SUGAR,TSP,1
40,1,TSP,SUGAR,TSP,1
41,1,TSP,SUGAR,TSP,1
42,1,TSP,SUGAR,TSP,1
43,1,CUP,VITAL WHEAT GLUTEN,CUP,1
44,1,CUP,VITAL WHEAT GLUTEN,CUP,1
45,1,CUP,VITAL WHEAT GLUTEN,CUP,1
46,1,TBSP,VITAL WHEAT GLUTEN,TBSP,1
47,1,CUP,VITAL WHEAT GLUTEN,CUP,1
48,1/4,CUP,WHEAT BRAN,CUP,0.25
49,1/4,CUP,WHEAT BRAN,CUP,0.25
50,1/4,CUP,WHEAT BRAN,CUP,0.25
51,1/4,CUP,WHEAT BRAN,CUP,0.25
52,1/4,CUP,OAT FLOUR,CUP,0.25
53,1/4,CUP,OAT FLOUR,CUP,0.25
54,1/4,CUP,OAT FLOUR,CUP,0.25
55,1/4,CUP,OAT FLOUR,CUP,0.25
56,1/4,CUP,FLAX MEAL,CUP,0.25
57,1/4,CUP,FLAX MEAL,CUP,0.25
58,1/4,CUP,FLAX MEAL,CUP,0.25
59,1/4,CUP,FLAX MEAL,CUP,0.25
60,1/2,CUP,ALMOND FLOUR,CUP,0.5
61,2,TBSP,ALMOND FLOUR,TBSP,2
62,1/2,CUP,ALMOND FLOUR,CUP,0.5
63,1/2,CUP,ALMOND FLOUR,CUP,0.5
64,1/4,CUP,ALMOND FLOUR,CUP,0.25
65,1/2,CUP,ALMOND FLOUR,CUP,0.5
66,1,CUP,ALMOND FLOUR,CUP,1
67,100,GMS,ALMOND FLOUR,GMS,100
68,1,TSP,BAKING SODA,TSP,1
69,1,TSP,BAKING SODA,TSP,1
70,1,TSP,BAKING SODA,TSP,1
71,1/4,TSP,BAKING SODA,TSP,0.25
72,1,TSP,BAKING SODA,TSP,1
73,1,TSP,SALT,TSP,1
74,1/4,TEASPOON,SALT,TEASPOON,0.25
75,to taste,,SALT,,0
76,to taste,,SALT,,0
77,1/4,TEASPOON,SALT,TEASPOON,0.25
78,1,TSP,SALT,TSP,1
79,1,TSP,SALT,TSP,1
80,1,TSP,SALT,TSP,1
81,to taste,,SALT,,0
82,to taste,,SALT,,0
83,to taste,,SALT,,0
84,1,TEASPOON,SALT,TEASPOON,1
85,1,SACHET,DRIED YEAST,SACHET,1
86,1,SACHET,DRIED YEAST,SACHET,1
87,1,SACHET,DRIED YEAST,SACHET,1
88,1,SACHET,DRIED YEAST,SACHET,1
89,3/4,CUP(86G),BLANCHED ALMOND FLOUR,CUP,0.75
90,3/4,CUP(86G),BLANCHED ALMOND FLOUR,CUP,0.75
91,1/2,TEASPOON,BAKING POWDER,TEASPOON,0.5
92,1/2,TEASPOON,BAKING POWDER,TEASPOON,0.5
93,1/2,TABLESPOON,BAKING POWDER,TABLESPOON,0.5
94,2,TABLESPOON,LUKEWARM WATER,TABLESPOON,2
95,2,TABLESPOON,LUKEWARM WATER,TABLESPOON,2
96,2-3,SPRAYS,BAKING SPRAY,SPRAYS,3
97,2-3,SPRAYS,BAKING SPRAY,SPRAYS,3
98,2,PRESSES,BAKING SPRAY,PRESSES,2
99,1,MEDIUM SIZED,AVOCADO,MEDIUM SIZED,1
100,1,CHOPPED,ONION,CHOPPED,1
101,1,SMALL CHOPPED,ONION,SMALL CHOPPED,1
102,1,SMALL CHOPPED,ONION,SMALL CHOPPED,1
103,1/2,,ONION,,0.5
104,1,CHOPPED,ONION,CHOPPED,1
105,grated,,GARLIC,,0
106,1,CLOVE,GARLIC,CLOVE,1
107,3,CLOVES,GARLIC,CLOVES,3
108,3-4,CLOVES,GARLIC,CLOVES,4
109,3-4,LARGE CLOVES,GARLIC,LARGE CLOVES,4
110,1,CLOVE,GARLIC,CLOVE,1
111,1,CLOVE,GARLIC,CLOVE,1
112,1,CHOPPED,TOMATO,CHOPPED,1
113,1,LARGE,TOMATO,LARGE,1
114,1,LARGE,TOMATO,LARGE,1
115,2,CHOPPED,GREEN CHILLIES,CHOPPED,2
116,2-3,MEDIUM SIZE,GREEN CHILLIES,MEDIUM SIZE,3
117,4-5,DESEEDED AND FINELY CHOPPED,GREEN CHILLIES,DESEEDED AND FINELY CHOPPED,5
118,1-2,FINELY CHOPPED(OPTIONAL),GREEN CHILLIES,FINELY CHOPPED,2
119,1-2,FINELY CHOPPED(OPTIONAL),GREEN CHILLIES,FINELY CHOPPED,2
120,2,MEDIUM,GREEN CHILLIES,MEDIUM,2
121,2-3,MEDIUM,GREEN CHILLIES,MEDIUM,3
122,1,SQUEEZED,LEMON,SQUEEZED,1
123,1,BIG,LEMON,BIG,1
124,1,BIG,LEMON,BIG,1
125,to taste,,BLACK PEPPER,,0
126,1/2,TABLESPOON,BLACK PEPPER,TABLESPOON,0.5
127,to taste,,BLACK PEPPER,,0
128,1,BUNCH,FRESH CORRIANDER LEAVES,BUNCH,1
129,1,BUNCH,FRESH CORRIANDER LEAVES,BUNCH,1
130,1/2,OF MIXER JAR,FRESH CORRIANDER LEAVES,OF MIXER JAR,0.5
131,1,BUNCH,FRESH MINT,BUNCH,1
132,1,BUNCH,FRESH MINT,BUNCH,1
133,1,BUNCH,FRESH MINT,BUNCH,1
134,3,MEDIUM,GREEN CHILLI,MEDIUM,3
135,2,CHOPPED,GREEN CHILLI,CHOPPED,2
136,3,MEDIUM,GREEN CHILLI,MEDIUM,3
137,1,TABLESPOON,CORIANDER AND GREEN MINT DIP,TABLESPOON,1
138,1,TEASPOON,BLACK MUSTARD,TEASPOON,1
139,1/2,CUP,HOT WATER,CUP,0.5
140,as needed,,SUGARFREE TOMATO KETCHUP,,0
141,as needed,,SUGARFREE TOMATO KETCHUP,,0
142,1,INCH,GINGER,INCH,1
143,1,INCH,GINGER,INCH,1
144,1,TBSP CHOPPED,GINGER,TBSP CHOPPED,1
145,1,INCH,GINGER,INCH,1
146,1,LARGE,RED ONION,LARGE,1
147,1/4,LARGE,RED ONION,LARGE,0.25
148,3,TABLESPOONS,AVOCADO OIL,TABLESPOONS,3
149,2,TABLESPOONS,AVOCADO OIL,TABLESPOONS,2
150,1,TEASPOON,CUMIN,TEASPOON,1
151,1,TEASPOON,TURMERIC,TEASPOON,1
152,1,TEASPOON,RED CHILLI POWDER,TEASPOON,1
153,1/2,TSP,RED CHILLI POWDER,TSP,0.5
154,3/4,TSP,RED CHILLI POWDER,TSP,0.75
155,1/2,TSP,RED CHILLI POWDER,TSP,0.5
156,1,TEASPOON,RED CHILLI POWDER,TEASPOON,1
157,1,TEASPOON,RED CHILLI POWDER,TEASPOON,1
158,2.5,TEASPOONS,RED CHILLI POWDER,TEASPOONS,2.5
159,2.5,TEASPOONS,RED CHILLI POWDER,TEASPOONS,2.5
160,1,TEASPOON,RED CHILLI POWDER,TEASPOON,1
161,250,GMS,TOFU,GMS,250
162,to taste,,PINK HIMALAYAN SALT,,0
163,to taste,,PINK HIMALAYAN SALT,,0
164,1,TEASPOON,PINK HIMALAYAN SALT,TEASPOON,1
165,1,TEASPOON,PINK HIMALAYAN SALT,TEASPOON,1
166,to taste,,PINK HIMALAYAN SALT,,0
167,to taste,,PINK HIMALAYAN SALT,,0
168,1,TEASPOON,PINK HIMALAYAN SALT,TEASPOON,1
169,1,TEASPOON,PINK HIMALAYAN SALT,TEASPOON,1
170,to taste,,PINK HIMALAYAN SALT,,0
171,to taste,,PEPPER,,0
172,1,,EGG,,1
173,3,TABLESPOONS,SMOOTH PEANUT BUTTER,TABLESPOONS,3
174,1,GRATED,BOTTLEGOURD,GRATED,1
175,2,TABLESPOONS,CLARIFIED BUTTER (GHEE),TABLESPOONS,2
176,2,TBSP,CLARIFIED BUTTER (GHEE),TBSP,2
177,2,TABLESPOONS,DOUBLE CREAM,TABLESPOONS,2
178,1,TEASPOON,CARDAMOM POWDER,TEASPOON,1
179,1/4,TSP,CARDAMOM POWDER,TSP,0.25
180,5,PIECES,CASHEW NUTS,PIECES,5
181,5,PIECES,ALMOND NUTS,PIECES,5
182,10,PIECES,PISTACHIO NUTS,PIECES,10
183,60,GMS,PEA PROTEIN,GMS,60
184,125,GMS,UNSALTED BUTTER,GMS,125
185,125,GMS,UNSALTED BUTTER,GMS,125
186,5,GMS,UNSALTED BUTTER,GMS,5
187,5,GMS,UNSALTED BUTTER,GMS,5
188,120,ML,DOUBLE THICK CREAM,ML,120
189,120,ML,WHOLE MILK,ML,120
190,Few strands,,SAFFRON (KESAR),,0
191,5,PEELED AND CRUSHED,CARDAMOM,PEELED AND CRUSHED,5
192,5,PEELED AND CRUSHED,CARDAMOM,PEELED AND CRUSHED,5
193,1,TBSP,DRY DESSICATED COCONUT,TBSP,1
194,30,GMS,CRUSHED CASHEW NUTS,GMS,30
195,1,TEASPOON,VANILLA EXTRACT,TEASPOON,1
196,infuser full,,WHOLE CINNAMON STICKS,,0
197,1.5L,,SPARKLING WATER,,1.5
198,as needed,,ICE,,0
199,60,GMS (4 TABLESPOONS),SOYA FLOUR,GMS,60
200,10,GMS (2 TEASPOONS),WHEAT FOUR,GMS,10
201,4-6,TABLESPOONS,WARM WATER,TABLESPOONS,6
202,1/2,TEASPOON,GHEE,TEASPOON,0.5
203,2,TBSP,GHEE,TBSP,2
204,1,TABLESPOON,GHEE,TABLESPOON,1
205,3,TBSP,GHEE,TBSP,3
206,1,TABLESPOON,GHEE,TABLESPOON,1
207,250,ML,GREEK YOGURT (SOUR IS BETTER),ML,250
208,1/4,TSP,ONION SEEDS,TSP,0.25
209,4,MEDIUM,WATER-SOAKED DRY RED CHILLIES,MEDIUM,4
210,1/4,CUP,GREEK YOGHURT,CUP,0.25
211,1,TSP,GREEK YOGHURT,TSP,1
212,1/4,TSP,TURMERIC POWDER,TSP,0.25
213,1/4,TSP,TURMERIC POWDER,TSP,0.25
214,1,TEASPOON,TURMERIC POWDER,TEASPOON,1
215,1,TEASPOON,TURMERIC POWDER,TEASPOON,1
216,2,,CLOVES,,2
217,1/2,CUP,SUNFLOWER SEED FLOUR,CUP,0.5
218,1/4,TSP,CAROM SEEDS,TSP,0.25
219,1/4,TSP,CAROM SEEDS,TSP,0.25
220,1/4,TSP,CUMIN SEEDS,TSP,0.25
221,1,TEASPOON,CUMIN SEEDS,TEASPOON,1
222,1,TEASPOON,CUMIN SEEDS,TEASPOON,1
223,1/2,TSP,CUMIN SEEDS,TSP,0.5
224,1/4,TSP,ASAFOETIDA,TSP,0.25
