,Amount,Unit,Recipe_name,Ingredient,New Amount,New Unit
0,1,TABLESPOON, RECIPE_1_FLAXSEED_PORRIDGE.MD,WALNUTS,1,TABLESPOON
1,1,TABLESPOON, RECIPE_1_FLAXSEED_PORRIDGE.MD,CASHEWS,1,TABLESPOON
2,1,TABLESPOON, RECIPE_1_FLAXSEED_PORRIDGE.MD,PISTACHIOS,1,TABLESPOON
3,1,TABLESPOON, RECIPE_1_FLAXSEED_PORRIDGE.MD,MACADEMIA NUTS,1,TABLESPOON
4,1,TABLESPOON, RECIPE_1_FLAXSEED_PORRIDGE.MD,ABOVE ROASTED NUTS MIXTURE,1,TABLESPOON
5,4,TABLESPOONS, RECIPE_1_FLAXSEED_PORRIDGE.MD,GOLDEN FLAXSEED POWDER,4,TABLESPOONS
6,4,TABLESPOONS, RECIPE_1_FLAXSEED_PORRIDGE.MD,FULL FAT GREEK YOGURT,4,TABLESPOONS
7,2,TABLESPOONS, RECIPE_1_FLAXSEED_PORRIDGE.MD,WATER,2,TABLESPOONS
8,4,TABLESPOONS, RECIPE_1_FLAXSEED_PORRIDGE.MD,ERYTHRITOL,4,TABLESPOONS
9,1,TEASPOON, RECIPE_1_FLAXSEED_PORRIDGE.MD,BLUEBERRIES,1,TEASPOON
10,1,HANDFUL, RECIPE_1_FLAXSEED_PORRIDGE.MD,RASPBERIIES,1,HANDFUL
11,1,HANDFUL, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,OLIVE OIL,1,HANDFUL
12,1,TBSP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,SUGAR,1,TBSP
14,300,ML, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,VITAL WHEAT GLUTEN,300,ML
15,1,CUP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,WHEAT BRAN,1,CUP
16,1/4,CUP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,OAT FLOUR,0.25,CUP
17,1/4,CUP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,FLAX MEAL,0.25,CUP
18,1/4,CUP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,ALMOND FLOUR,0.25,CUP
