,Amount,Unit,Recipe_name,Ingredient,New Amount,New Unit
0,60,GMS(4 TABLESPOONS), RECIPE_1_TAVA_ROTI.MD,SOYA FLOUR,60,GMS
1,10,GMS(2 TEASPOONS), RECIPE_1_TAVA_ROTI.MD,WHEAT FLOUR,10,GMS
2,4-6,TABLESPOONS, RECIPE_1_TAVA_ROTI.MD,WARM WATER,6,TABLESPOONS
3,1/2,TEASPOON, RECIPE_1_TAVA_ROTI.MD,GHEE,0.5,TEASPOON
4,1,TBSP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,OLIVE OIL,1,TBSP
5,1,TSP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,SUGAR,1,TSP
6,300,ML, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,WATER,300,ML
7,1,CUP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,VITAL WHEAT GLUTEN,1,CUP
8,1/4,CUP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,WHEAT BRAN,0.25,CUP
9,1/4,CUP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,OAT FLOUR,0.25,CUP
10,1/4,CUP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,FLAX MEAL,0.25,CUP
11,1/2,CUP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,ALMOND FLOUR,0.5,CUP
12,1,TSP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,BAKING SODA,1,TSP
13,1,TSP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,SALT,1,TSP
14,7,GMS(1 SACHET), RECIPE_2_WHEAT_GLUTEN_BREAD.MD,DRIED YEAST,7,GMS
15,1,TBSP, RECIPE_3_TANDOORI_ROTI.MD,OLIVE OIL,1,TBSP
16,1,TSP, RECIPE_3_TANDOORI_ROTI.MD,SUGAR,1,TSP
17,300,ML, RECIPE_3_TANDOORI_ROTI.MD,WATER,300,ML
18,1,CUP, RECIPE_3_TANDOORI_ROTI.MD,VITAL WHEAT GLUTEN,1,CUP
19,1/4,CUP, RECIPE_3_TANDOORI_ROTI.MD,WHEAT BRAN,0.25,CUP
20,1/4,CUP, RECIPE_3_TANDOORI_ROTI.MD,OAT FLOUR,0.25,CUP
21,1/4,CUP, RECIPE_3_TANDOORI_ROTI.MD,FLAX MEAL,0.25,CUP
22,1/2,CUP, RECIPE_3_TANDOORI_ROTI.MD,ALMOND FLOUR,0.5,CUP
23,1,TSP, RECIPE_3_TANDOORI_ROTI.MD,BAKING SODA,1,TSP
24,1,TSP, RECIPE_3_TANDOORI_ROTI.MD,SALT,1,TSP
25,7,GMS(1 SACHET), RECIPE_3_TANDOORI_ROTI.MD,DRIED YEAST,7,GMS
26,5,GMS, RECIPE_3_TANDOORI_ROTI.MD,UNSALTED BUTTER,5,GMS
27,50,ML, RECIPE_4_NAAN_BREAD.MD,WATER,50,ML
28,1,TBSP, RECIPE_4_NAAN_BREAD.MD,OLIVE OIL,1,TBSP
29,1,TSP, RECIPE_4_NAAN_BREAD.MD,SUGAR,1,TSP
30,250,ML, RECIPE_4_NAAN_BREAD.MD,GREEK YOGURT (SOUR IS BETTER),250,ML
31,1,CUP, RECIPE_4_NAAN_BREAD.MD,VITAL WHEAT GLUTEN,1,CUP
32,1/4,CUP, RECIPE_4_NAAN_BREAD.MD,WHEAT BRAN,0.25,CUP
33,1/4,CUP, RECIPE_4_NAAN_BREAD.MD,OAT FLOUR,0.25,CUP
34,1/4,CUP, RECIPE_4_NAAN_BREAD.MD,FLAX MEAL,0.25,CUP
35,1/2,CUP, RECIPE_4_NAAN_BREAD.MD,ALMOND FLOUR,0.5,CUP
36,1,TSP, RECIPE_4_NAAN_BREAD.MD,BAKING SODA,1,TSP
37,1,TSP, RECIPE_4_NAAN_BREAD.MD,SALT,1,TSP
38,7,GMS(1 SACHET), RECIPE_4_NAAN_BREAD.MD,DRIED YEAST,7,GMS
39,1/4,TSP, RECIPE_4_NAAN_BREAD.MD,ONION SEEDS,0.25,TSP
40,5,GMS, RECIPE_4_NAAN_BREAD.MD,UNSALTED BUTTER,5,GMS
41,1.5,TABLESPOON, RECIPE_001_FLAXSEED_PORRIDGE.MD,ALMONDS,1.5,TABLESPOON
42,1.5,TABLESPOON, RECIPE_001_FLAXSEED_PORRIDGE.MD,WALNUTS,1.5,TABLESPOON
43,1.5,TABLESPOON, RECIPE_001_FLAXSEED_PORRIDGE.MD,CASHEWS,1.5,TABLESPOON
44,1.5,TABLESPOON, RECIPE_001_FLAXSEED_PORRIDGE.MD,PISTACHIOS,1.5,TABLESPOON
45,1.5,TABLESPOON, RECIPE_001_FLAXSEED_PORRIDGE.MD,MACADEMIA NUTS,1.5,TABLESPOON
