Food Code; code,Food Name; name,Local Name; lang,Energy; enerc,Total Fat; fatce,Dietary Fiber; fibtg,Carbohydrate; choavldf,Protein; protcnt
A001,"AMARANTH SEED, BLACK",A. MORICHA GUTI; H. RAMDANA; KAN. DANTHU BEEJA; KASH. MAWAL; MAL. CHEERA VITHU; M. CHENGKRUK MARU; MAR. CAVALI BIYA; O. KOSALA SAG MANJI DHALA; P. CHAULALI BEEJ; TAM. KEERAI VIDAI; TEL. THOTAKOORA GINJALU.,1490,5.74,7.02,59.98,14.59
A001,DANTHU BEEJA,KAN,1490,5.74,7.02,59.98,14.59
A001,MAWAL,KASH,1490,5.74,7.02,59.98,14.59
A001,CHEERA VITHU,MAL,1490,5.74,7.02,59.98,14.59
A001,CHENGKRUK MARU,M,1490,5.74,7.02,59.98,14.59
A001,CAVALI BIYA,MAR,1490,5.74,7.02,59.98,14.59
A001,KOSALA SAG MANJI DHALA,O,1490,5.74,7.02,59.98,14.59
A001,CHAULALI BEEJ,P,1490,5.74,7.02,59.98,14.59
A001,KEERAI VIDAI,TAM,1490,5.74,7.02,59.98,14.59
A001,THOTAKOORA GINJALU,TEL,1490,5.74,7.02,59.98,14.59
A001,RAMDANA,H,1490,5.74,7.02,59.98,14.59
A001,MORICHA GUTI,A,1490,5.74,7.02,59.98,14.59
A002,"AMARANTH SEED, PALE BROWN",A. MORICHA GUTI; G. RAJAGARO; H. RAMDANA; KAN. DANTHU BEEJA; KASH. MAWAL; MAL. CHEERA VITHU; M. CHENGKRUK MARU; MAR. CAVALI BIYA; O. KOSALA SAG MAJI KALE; P. CHAULALI BEEJ; TAM. KEERAI VIDAI; TEL. THOTAKOORA GINJALU.,1489,5.56,7.47,61.46,13.27
A002,KOSALA SAG MAJI KALE,O,1489,5.56,7.47,61.46,13.27
A002,RAJAGARO,G,1489,5.56,7.47,61.46,13.27
A003,BAJRI,G,1456,5.43,11.49,61.78,10.96
A003,KAMBAM,MAL,1456,5.43,11.49,61.78,10.96
A003,KRAI,KH,1456,5.43,11.49,61.78,10.96
A003,SAJJE,KAN,1456,5.43,11.49,61.78,10.96
A003,SAJJALU,TEL,1456,5.43,11.49,61.78,10.96
A003,PEARL MILLET,E,1456,5.43,11.49,61.78,10.96
A003,BAAJRA,"A., KASH",1456,5.43,11.49,61.78,10.96
A003,KAMBU,TAM,1456,5.43,11.49,61.78,10.96
A003,BAJRA,"A., KASH. BAAJRA; B. BAJRA; E. PEARL MILLET; G. BAJRI; H. BAJRA; KAN. SAJJE; KH. KRAI; MAL. KAMBAM; MAR. BAJRA; N. BAJARA; O. BAJRA; P. BAJRA; TAM. KAMBU; TEL. SAJJALU; U. BAJRA.",1456,5.43,11.49,61.78,10.96
A003,BAJARA,N,1456,5.43,11.49,61.78,10.96
A004,JAV,G,1321,1.3,15.64,61.29,10.94
A004,JAU,H,1321,1.3,15.64,61.29,10.94
A004,WUSHKE,KASH,1321,1.3,15.64,61.29,10.94
A004,SATH,MAR,1321,1.3,15.64,61.29,10.94
A004,JABA,O,1321,1.3,15.64,61.29,10.94
A004,JAO,P,1321,1.3,15.64,61.29,10.94
A004,BARLI,A,1321,1.3,15.64,61.29,10.94
A004,BAARLI ARISI,TAM,1321,1.3,15.64,61.29,10.94
A004,BARLEY,A. BARLI; B. BARLEY; G. JAV; H. JAU; KAN. BARLEY; KASH. WUSHKE; KH. KRAI; MAL. BARLEY; MAR. SATH; N. JAU; O. JABA; P. JAO; S. YAVA; TAM. BAARLI ARISI; TEL. BARLEY; U. JAU.,1321,1.3,15.64,61.29,10.94
A004,YAVA,S,1321,1.3,15.64,61.29,10.94
A005,PINGU,KASH,1398,1.73,10.22,67.68,9.97
A005,JONDHAHLAA,MAR,1398,1.73,10.22,67.68,9.97
A005,JANHA,O,1398,1.73,10.22,67.68,9.97
A005,JAVARA,P,1398,1.73,10.22,67.68,9.97
A005,CHOLAM,TAM,1398,1.73,10.22,67.68,9.97
A005,JONNA,TEL,1398,1.73,10.22,67.68,9.97
A005,JOLADA,KAN,1398,1.73,10.22,67.68,9.97
A005,IRUNKU,MAL,1398,1.73,10.22,67.68,9.97
A005,JOWAR,A. JOWAR; B. JOWAR; E. SORGHUM; G. JOWAR; H. JOWAR; KAN. JOLADA; KASH. PINGU; KH. KRAI; MAL. IRUNKU; MAR. JONDHAHLAA; O. JANHA; P. JAVARA; TAM. CHOLAM; TEL. JONNA; U. JOWAR.,1398,1.73,10.22,67.68,9.97
A005,SORGHUM,E,1398,1.73,10.22,67.68,9.97
A006,SYMBAI RIEWHADEM STEM,KH,1398,3.77,12.24,64.77,8.8
A006,MOKKAJONNA,TEL,1398,3.77,12.24,64.77,8.8
A006,MAKKA CHOLAM,TAM,1398,3.77,12.24,64.77,8.8
A006,YAAVANAALA,S,1398,3.77,12.24,64.77,8.8
A006,CHHALI,P,1398,3.77,12.24,64.77,8.8
A006,SUKHA MAKAI,N,1398,3.77,12.24,64.77,8.8
A006,MAKA,MAR,1398,3.77,12.24,64.77,8.8
A006,CHUJAAK,M,1398,3.77,12.24,64.77,8.8
A006,MAIZE,MAL,1398,3.77,12.24,64.77,8.8
A006,MEKKE JOLA,KAN,1398,3.77,12.24,64.77,8.8
A006,MAKKA,H,1398,3.77,12.24,64.77,8.8
A006,MAKAI,G,1398,3.77,12.24,64.77,8.8
A006,CORN,E,1398,3.77,12.24,64.77,8.8
A006,BHUTTA,B,1398,3.77,12.24,64.77,8.8
A006,MAKOI,A,1398,3.77,12.24,64.77,8.8
A006,"MAIZE, DRY",A. MAKOI; B. BHUTTA; E. CORN; G. MAKAI; H. MAKKA; KAN. MEKKE JOLA; KASH. MAKAI; KH. SYMBAI RIEWHADEM STEM; MAL. MAIZE; M. CHUJAAK; MAR. MAKA; N. SUKHA MAKAI; O. MAKA; P. CHHALI; S. YAAVANAALA; TAM. MAKKA CHOLAM; TEL. MOKKAJONNA; U. MAKAI.,1398,3.77,12.24,64.77,8.8
A007,"MAIZE, TENDER, LOCAL",A. MAKOI; B. BHUTTA; E. CORN; G. LILI MAKAI; H. MAKKA; KAN. MEKKE JOLA; KASH. MAKAI; KH. RIEWHADEM STEM; MAL. MAIZE; M. CHUJAAK; MAR. MAKA; N. MAKAI; O. MAKA; P. CHHALI; TAM. MAKKA CHOLAM; TEL. MOKKAJONNA; U. MAKAI.,502,1.4,3.67,22.69,3.57
A007,LILI MAKAI,G,502,1.4,3.67,22.69,3.57
A007,RIEWHADEM STEM,KH,502,1.4,3.67,22.69,3.57
A008,"MAIZE, TENDER, SWEET",A. MAKOI; B. BHUTTA; E. CORN; G. LILI MAKAI; H. MAKKA; KAN. MEKKE JOLA; KASH. MAKAI; KH. RIEWHADEM LIEH; MAL. MAIZE; M. CHUJAAK; MAR. MAKA; N. MAKAI; O. MAKA; P. CHHALI; TAM. MAKKA CHOLAM; TEL. MOKKAJONNA; U. MAKAI.,405,1.35,3.3,16.42,4.16
A008,RIEWHADEM LIEH,KH,405,1.35,3.3,16.42,4.16
A009,QUINOA,NA,1374,5.5,14.66,53.65,13.11
A010, MANDAL,P,1342,1.92,11.18,66.82,7.16
A010,MADHULIKA,S,1342,1.92,11.18,66.82,7.16
A010,KODO,N,1342,1.92,11.18,66.82,7.16
A010,BHAKRI,KAN,1342,1.92,11.18,66.82,7.16
A010,KELVARAGU,TAM,1342,1.92,11.18,66.82,7.16
A010,MANDIA,O,1342,1.92,11.18,66.82,7.16
A010,BAVATO,G,1342,1.92,11.18,66.82,7.16
A010,FINGER MILLET,E,1342,1.92,11.18,66.82,7.16
A010,PANJAPULLE,MAL,1342,1.92,11.18,66.82,7.16
A010,RAGI,A. RAGI; B. RAGI; E. FINGER MILLET; G. BAVATO; H. RAGI; KAN. BHAKRI; KH. UKRAI; MAL. PANJAPULLE; MAR. BHAKRI; N. KODO; O. MANDIA; P.  MANDAL; S. MADHULIKA; TAM. KELVARAGU; TEL. RAGI; U. MANDWA.,1342,1.92,11.18,66.82,7.16
A010,MANDWA,U,1342,1.92,11.18,66.82,7.16
A010,UKRAI,KH,1342,1.92,11.18,66.82,7.16
A011,"CHIDE, CHIRA",B,1480,1.14,3.46,76.75,7.44
A011,"CHIRA, CHIURA",A,1480,1.14,3.46,76.75,7.44
A011,"ATUKULU, ATTUKULU",TEL,1480,1.14,3.46,76.75,7.44
A011,CHIRWRE,P,1480,1.14,3.46,76.75,7.44
A011,"CHUDAA, CHUDA",O,1480,1.14,3.46,76.75,7.44
A011,CHENGPAAK,M,1480,1.14,3.46,76.75,7.44
A011,AVAL,MAL,1480,1.14,3.46,76.75,7.44
A011,SHIRA,KH,1480,1.14,3.46,76.75,7.44
A011,POHE,MAR,1480,1.14,3.46,76.75,7.44
A011,AVALAKKI,KAN,1480,1.14,3.46,76.75,7.44
A011,POHA,H,1480,1.14,3.46,76.75,7.44
A011,PAUNVA,G,1480,1.14,3.46,76.75,7.44
A011,"FLATTENED RICE, BEATEN RICE",E,1480,1.14,3.46,76.75,7.44
A011,RICE FLAKES,"A. CHIRA, CHIURA; B. CHIDE, CHIRA; E. FLATTENED RICE, BEATEN RICE; G. PAUNVA; H. POHA; KAN. AVALAKKI; KASH. CHEVRI; KH. SHIRA; MAL. AVAL; M. CHENGPAAK; MAR. POHE; O. CHUDAA, CHUDA; P. CHIRWRE; TAM. AVAL; TEL. ATUKULU, ATTUKULU.",1480,1.14,3.46,76.75,7.44
A011,CHEVRI,KASH,1480,1.14,3.46,76.75,7.44
A012,MURAI,N,1514,1.62,2.56,77.68,7.47
A012,RICE PUFFED,A. MURI; B. MURI; G. MAMRA; H. MURAMURE; KAN. KALLE PURI; KASH. TOMUL; KH. MURI; MAL. PORI; M. KABOK MUR; MAR. CHIRMURE; N. MURAI; O. MUDHI; P. PHULIAN; TAM. PORI; TEL. MARAMARALU; U. MURMURE.,1514,1.62,2.56,77.68,7.47
A012,MURMURE,U,1514,1.62,2.56,77.68,7.47
A012,MARAMARALU,TEL,1514,1.62,2.56,77.68,7.47
A012,PHULIAN,P,1514,1.62,2.56,77.68,7.47
A012,MUDHI,O,1514,1.62,2.56,77.68,7.47
A012,CHIRMURE,MAR,1514,1.62,2.56,77.68,7.47
A012,MAMRA,G,1514,1.62,2.56,77.68,7.47
A012,PORI,MAL,1514,1.62,2.56,77.68,7.47
A012,TOMUL,KASH,1514,1.62,2.56,77.68,7.47
