,Amount,Unit,Recipe_name,Ingredient,New Amount,New Unit
0,60,GMS(4 TABLESPOONS), RECIPE_1_TAVA_ROTI.MD,SOYA FLOUR,60,GMS
2,4-6,TABLESPOONS, RECIPE_1_TAVA_ROTI.MD,WARM WATER,6,TABLESPOONS
3,1/2,TEASPOON, RECIPE_1_TAVA_ROTI.MD,GHEE,0.5,TEASPOON
4,1,TBSP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,OLIVE OIL,1,TBSP
5,1,TSP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,SUGAR,1,TSP
6,300,ML, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,WATER,300,ML
7,1,CUP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,VITAL WHEAT GLUTEN,1,CUP
41,1.5,TABLESPOON, RECIPE_001_FLAXSEED_PORRIDGE.MD,ALMONDS,1.5,TABLESPOON
50,1,HANDFUL, RECIPE_001_FLAXSEED_PORRIDGE.MD,BLUEBERRIES,1,HANDFUL
56,to taste,, RECIPE_002_ALMOND_BREAD.MD,SALT,0,
59,2-3,SPRAYS, RECIPE_002_ALMOND_BREAD.MD,BAKING SPRAY,3,SPRAYS
62,3,CLOVES(GRATED), RECIPE_002_ALMOND_BREAD.MD,GARLIC,3,CLOVES
71,1,CLOVE, RECIPE_003_KETO_DHOKLA.MD,GARLIC,1,CLOVE
84,2,TEASPOONS, RECIPE_003_KETO_DHOKLA.MD,ERYTHRITOL,2,TEASPOONS
86,2-3,MEDIUM SIZE, RECIPE_004_SCRAMBLED_TOFU.MD,GREEN CHILLIES,3,MEDIUM SIZE
110,1,INCH (CHOPPED), RECIPE_005_KETO_UPMA.MD,GINGER,1,INCH
118,3,CUPS, RECIPE_005_KETO_UPMA.MD,WATER,3,CUPS
129,1,GRATED, RECIPE_002_BOTTLEGOURD_HALWA.MD,BOTTLEGOURD,1,GRATED
167,0.5,L, TEST.MD,WATER,0.5,L
175,1.5,LITRE, TEST.MD,SPARKLING WATER,1.5,LITRE
227,4,MEDIUM, RECIPE_001_KETO_GATTE.MD,WATER-SOAKED DRY RED CHILLIES,4,MEDIUM
251,0.5-0.75,KG(BLACK LARGE), RECIPE_002_BAIGAN_BHARTA.MD,AUBERGINE,0.75,KG
293,1,TBSP CHOPPED, RECIPE_005_SOYA_MALAI.MD,GINGER,1,TBSP CHOPPED
355,1,GM{1 PIECE, RECIPE_008_METHI_MALAI_PANEER.MD,GREEN CARDAMOM,1,GM{1 PIECE
358,1,LEAF, RECIPE_008_METHI_MALAI_PANEER.MD,BAYLEAF,1,LEAF
433,1,BUNCH (ROUGHLY TORN), RECIPE_011_LAHSUNI_PANEER.MD,FRESH MINT LEAVES,1,BUNCH
