Name,Net_carb/100gms,Unit,Source
ALMOND FLOUR,6.9,gms,LABEL
ALMOND NUTS,5.3,gms,LABEL
ALMOND PASTE,5.3,gms,LABEL
ALMONDS,5.3,gms,UKDB
ARROWROOT STARCH,84.45,gms,LABEL
AVOCADO,1.3,gms,UKDB
AUBERGINE,2.2,gms,UKDB
BABY SPINACH,1.2,gms,LABEL
BANANAS,12.8,gms,UKDB
BANANA,12.8,gms,UKDB
BAY LEAF,48.6,gms,LABEL
BLACK AUBERGINE LARGE ,2.3,gms,LABEL
BLANCHED ALMOND FLOUR,6.9,gms,LABEL
BLUEBERRIES,9.7,gms,NCCDB
BOILING HOT WATER,0,gms,LABEL
BOTTLEGOURD,3.7,gms,LABEL
BROWN CHESTNUT MUSHROOMS,2,gms,LABEL
CHESTNUT MUSHROOM,2,gms,LABEL
MUSHROOMS,2,gms,LABEL
CANNED PINEAPPLE,13.2,gms,NCCDB
CAROM SEEDS,8,gms,LABEL
CASHEW NUTS,18,gms,LABEL
CASHEWS,18,gms,LABEL
CASHEW,18,gms,LABEL
CAULIFLOWER,2.5,gms,LABEL
CHERRY TOMATOES,4.64,gms,NCCDB
CHOPPED BASIL,2.5,gms,LABEL
FRESH BASIL LEAVES,2.5,gms,LABEL
BASIL LEAVES,2.5,gms,LABEL
GREEN BASIL LEAVES,2.5,gms,LABEL
CHANA DAL,39.56,gms,INDB
CINNAMON POWDER,35,gms,NCCDB
CORIANDER LEAVES,1.2,gms,UKDB
CORIANDER,1.2,gms,UKDB
CORRIANDER,1.2,gms,UKDB
CORRIANDER LEAVES,1.2,gms,UKDB
CREAM,3.5,gms,LABEL
WHIPPING CREAM,3.5,gms,LABEL
CREAM CHEESE,3,gms,LABEL
CRUSHED CASHEW NUTS,21,gms,LABEL
CUCUMBER,1.1,gms,LABEL
CUMIN,0,gms,UKDB
CUMIN POWDER,0,gms,UKDB
CUMIN SEEDS,0,gms,UKDB
CURRY LEAVES,4.51,gms,INDB
DOUBLE CREAM,3.5,gms,LABEL
DOUBLE THICK CREAM,3.5,gms,LABEL
DRIED FENUGREEK LEAVES,7,gms,LABEL
DRIED YEAST,3.5,gms,UKDB
DRY DESSICATED COCONUT,12.5,gms,LABEL
DRY FENUGREEK LEAVES,7,gms,LABEL
EGG,0.8,gms,LABEL
ERYTHRITOL,0,gms,NCCDB
EXTRA MATURE CHEDDAR CHEESE,0.1,gms,LABEL
FENUGREEK SEEDS,0,gms,UKDB
