,Amount,Unit,Ingredient,New Unit,New Amount
5,4,TABLESPOONS,ABOVE ROASTED NUTS MIXTURE,TABLESPOONS,4
60,01-Feb,CUP,ALMOND FLOUR,CUP,0.5
181,5,PIECES,ALMOND NUTS,PIECES,5
249,3,TBSP,ALMOND PASTE,TBSP,3
0,1,TABLESPOON,ALMONDS,TABLESPOON,1
296,1,TBSP,APPLE CIDER VINEGAR,TBSP,1
224,01-Apr,TSP,ASAFOETIDA,TSP,0.25
231,4,TABLESPOONS,AVACADO OIL,TABLESPOONS,4
99,1,MEDIUM SIZED,AVOCADO,MEDIUM SIZED,1
148,3,TABLESPOONS,AVOCADO OIL,TABLESPOONS,3
295,07-Oct,LEAVES,BABY SPINACH,LEAVES,10
91,01-Feb,TEASPOON,BAKING POWDER,TEASPOON,0.5
68,1,TSP,BAKING SODA,TSP,1
96,02-Mar,SPRAYS,BAKING SPRAY,SPRAYS,3
287,2,TABLESPOONS,BALSAMIC VINEGAR,TABLESPOONS,2
227,0.5-0.75,KG,BLACK AUBERGINE LARGE ,KG,0.75
244,2,,BLACK CARDAMOM,,2
138,1,TEASPOON,BLACK MUSTARD,TEASPOON,1
125,to taste,,BLACK PEPPER,,0
89,03-Apr,CUP(86G),BLANCHED ALMOND FLOUR,CUP,0.75
26,1,HANDFUL,BLUEBERRIES,HANDFUL,1
278,3,CUPS,BOILING HOT WATER,CUPS,3
174,1,GRATED,BOTTLEGOURD,GRATED,1
255,4,,BROWN CHESTNUT MUSHROOMS,,4
256,1,RING,CANNED PINEAPPLE,RING,1
191,5,PEELED AND CRUSHED,CARDAMOM,PEELED AND CRUSHED,5
178,1,TEASPOON,CARDAMOM POWDER,TEASPOON,1
218,01-Apr,TSP,CAROM SEEDS,TSP,0.25
180,5,PIECES,CASHEW NUTS,PIECES,5
2,1,TABLESPOON,CASHEWS,TABLESPOON,1
238,500,GMS,CAULIFLOWER,GMS,500
292,250,GMS,CHERRY TOMATOES,GMS,250
284,02-Mar,TABLESPOONS,CHOPPED BASIL,TABLESPOONS,3
175,2,TABLESPOONS,CLARIFIED BUTTER (GHEE),TABLESPOONS,2
216,2,,CLOVES,,2
137,1,TABLESPOON,CORIANDER AND GREEN MINT DIP,TABLESPOON,1
246,01-Feb,TBSP,CORIANDER POWDER,TBSP,0.5
239,1,SMALL BUNCH,CORRIANDER LEAVES,SMALL BUNCH,1
233,1,TEASPOON,CORRIANDER POWDER,TEASPOON,1
247,2,TBSP,CREAM,TBSP,2
194,30,GMS,CRUSHED CASHEW NUTS,GMS,30
150,1,TEASPOON,CUMIN,TEASPOON,1
220,01-Apr,TSP,CUMIN SEEDS,TSP,0.25
177,2,TABLESPOONS,DOUBLE CREAM,TABLESPOONS,2
188,120,ML,DOUBLE THICK CREAM,ML,120
225,1,TBSP,DRIED FENUGREEK LEAVES,TBSP,1
85,1,SACHET,DRIED YEAST,SACHET,1
193,1,TBSP,DRY DESSICATED COCONUT,TBSP,1
251,1,TSP,DRY FENUGREEK LEAVES,TSP,1
172,1,,EGG,,1
20,1,TEASPOON,ERYTHRITOL,TEASPOON,1
279,1,CUP,EXTRA MATURE CHEDDAR CHEESE,CUP,1
272,as needed,,EXTRA SEASONING,,0
282,6,TABLESPOONS,EXTRA VIRGIN OLIVE OIL,TABLESPOONS,6
56,01-Apr,CUP,FLAX MEAL,CUP,0.25
128,1,BUNCH,FRESH CORRIANDER LEAVES,BUNCH,1
131,1,BUNCH,FRESH MINT,BUNCH,1
294,01-Feb,OF MIXER JAR,FRESH MINT LEAVES,OF MIXER JAR,0.5
250,1,TBSP,FRESHLY GROUND BLACK PEPPER,TBSP,1
7,2,TABLESPOONS,FULL FAT GREEK YOGURT,TABLESPOONS,2
235,1,TEASPOON,GARAM MASALA,TEASPOON,1
105,grated,,GARLIC,,0
202,01-Feb,TEASPOON,GHEE,TEASPOON,0.5
142,1,INCH,GINGER,INCH,1
