,Amount,Unit,Recipe_name,Ingredient,New Amount,New Unit
0,1,TABLESPOON, RECIPE_1_FLAXSEED_PORRIDGE.MD,ALMONDS,1,TABLESPOON
5,5,TABLESPOONS, RECIPE_1_FLAXSEED_PORRIDGE.MD,GOLDEN FLAXSEED POWDER,5,TABLESPOONS
8,1.5,TEASPOON, RECIPE_1_FLAXSEED_PORRIDGE.MD,ERYTHRITOL,1.5,TEASPOON
9,1,HANDFUL, RECIPE_1_FLAXSEED_PORRIDGE.MD,BLUEBERRIES,1,HANDFUL
11,1,TBSP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,OLIVE OIL,1,TBSP
12,1,TSP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,SUGAR,1,TSP
13,300,ML, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,WATER,300,ML
14,1,CUP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,VITAL WHEAT GLUTEN,1,CUP
21,7,GMS(1 SACHET), RECIPE_2_WHEAT_GLUTEN_BREAD.MD,DRIED YEAST,7,GMS
26,to taste,, RECIPE_3_ALMOND_BREAD.MD,SALT,0,
29,2-3,SPRAYS, RECIPE_3_ALMOND_BREAD.MD,BAKING SPRAY,3,SPRAYS
32,3,CLOVES(GRATED), RECIPE_3_ALMOND_BREAD.MD,GARLIC,3,CLOVES
40,2,CHOPPED, RECIPE_4_KETO_DHOKLA.MD,GREEN CHILLI,2,CHOPPED
41,1,CLOVE, RECIPE_4_KETO_DHOKLA.MD,GARLIC,1,CLOVE
55,2,TEASPOONS, RECIPE_4_KETO_DHOKLA.MD,ERYTHRITOL,2,TEASPOONS
57,2-3,MEDIUM SIZE, RECIPE_5_SCRAMBLED_TOFU.MD,GREEN CHILLIES,3,MEDIUM SIZE
74,1,GRATED, RECIPE_2_BOTTLEGOURD_HALWA.MD,BOTTLEGOURD,1,GRATED
96,0.5,L, TEST.MD,WATER,0.5,L
97,1.5,LITRE, TEST.MD,SPARKLING WATER,1.5,LITRE
145,4,MEDIUM, RECIPE_4_KETO_GATTE.MD,WATER-SOAKED DRY RED CHILLIES,4,MEDIUM
169,0.5-0.75,KG(BLACK LARGE), RECIPE_5_BAIGAN_BHARTA.MD,AUBERGINE,0.75,KG
172,1,INCH, RECIPE_5_BAIGAN_BHARTA.MD,GINGER,1,INCH
211,1,TBSP CHOPPED, RECIPE_8_SOYA_MALAI.MD,GINGER,1,TBSP CHOPPED
262,1,BUNCH, RECIPE_3_PROTEIN_CUTLETS.MD,FRESH CORRIANDER LEAVES,1,BUNCH
267,1,BIG, RECIPE_3_PROTEIN_CUTLETS.MD,LEMON,1,BIG
271,3,CUPS, RECIPE_3_PROTEIN_CUTLETS.MD,BOILING HOT WATER,3,CUPS
